ID EVENT uniek	E_aantal keer vermeld	Titel	DATUM KRANT	Onderwerp	Thema's_categorie	city	country	continent	spreker_samengevoegd	organisator1_gestandaardiseerd	Locatie	Locatie_gestandaardiseerd	STAD STANDAARD_GEGROEPEERD	period
EID1051	2.0	Le Soir 	1903-12-22 00:00:00	"""conférence avec projections lumineuses"" """"La Suisse"""""	travel		Zwitserland	Europa	De KelperD. 	Le Réveil Intellectuel - Université populaire de Laeken		Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1110	2.0	Le Peuple	1904-01-13 00:00:00	"""Les Balkans et la question macédonienne. Projections lumineuses"""	maatschappelijk		Macedonië	Europa	de LevalCharles Gaston	Le Réveil Intellectuel - Université populaire de Laeken	Local	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1133	3.0	Le Peuple	1904-01-18 00:00:00	"""Les hautes Alpes. Projections lumineuses"""	travel			Europa	LefébureCharles François Louis	Le Réveil Intellectuel - Université populaire de Laeken	Local	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID117	1.0	L'Indépendance Belge	1902-04-07 00:00:00	les hautes vallées et cimes des Alpes	travel			Europa	LefébureCharles François Louis	Le Réveil Intellectuel - Université populaire de Laeken	Université populaire de Bruxelles	Université populaire	Brussel	1902-1904
EID1201	2.0	Le Soir	1904-02-02 00:00:00	"""conférence avec projections lumineuses"" """"La Suisse"""""	travel		Zwitserland	Europa	De KelperD. 	Le Réveil Intellectuel - Université populaire de Laeken		Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1247	1.0	Le Peuple	1904-02-16 00:00:00	"""conférence flamande, avec projections lumineuses"" ""Du Moerdijck au Zuiderzee"""	travel	Moerdijk	Nederland	Europa	KeslerJohan C.	Le Réveil Intellectuel - Université populaire de Laeken	Local	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1329	1.0	Le Peuple	1904-03-10 00:00:00	"""Les forêts et notamment la fôt de Soignes. (Projections lumineuses)"""	travel	Zoniënwoud	België	Europa	Crahay	Le Réveil Intellectuel - Université populaire de Laeken	Local	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1337	2.0	Le Soir	1904-03-10 00:00:00	"""conférence avec projections lumineuses"" """"La fôret de Soignes"""""	travel	Zoniënwoud	België	Europa	Crahay	Le Réveil Intellectuel - Université populaire de Laeken		Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1679	2.0	Le Peuple	1904-11-15 00:00:00	"""conférence avec projections lumineuses"" ""Zigzags en Corse"""	travel		Corsica	Europa	CarniauxMichel Joseph Eugène	Le Réveil Intellectuel - Université populaire de Laeken		Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID1718	1.0	Le Peuple	1904-11-28 00:00:00	"""conférence publique avec projections inédites en couleurs"" ""Une grande oeuvre sociale (les habitations ouvrières de Port-Sunlight (Angleterre)"""	maatschappelijk		Engeland	Europa	DotheyLouis	Le Réveil Intellectuel - Université populaire de Laeken	Local	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID2075	1.0	Le Peuple	1914-02-09 00:00:00	Le province de Québec (Canada)	travel	Québec	Canada	Amerika	CornezPaul 	Le Réveil Intellectuel - Université populaire de Laeken	Université populaire	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1914-1918
EID2298	1.0	Le Peuple	1914-03-15 00:00:00	Le théâtre espagnol contemporain	kunst		Spanje	Europa	DevosP.-H.	Le Réveil Intellectuel - Université populaire de Laeken	Université populaire	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1914-1918
EID2405	1.0	Le Peuple	1914-03-30 00:00:00	La Normandie	travel	Normandië	Frankrijk	Europa	TitzLouis	Le Réveil Intellectuel - Université populaire de Laeken	Université populaire	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1914-1918
EID320	2.0	Le Soir	1902-12-15 00:00:00	"""conférence avec projections lumineuses"" """"Le peuple de Paris sous la Révolution"""""	geschiedenis		Frankrijk	Europa	NoëlAlexis 	Le Réveil Intellectuel - Université populaire de Laeken		Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID4308	1.0	Le Peuple	1922-11-04 00:00:00	Climat et sites algériens	travel		Algerije	Afrika	Doutquin	Le Réveil Intellectuel - Université populaire de Laeken	le hall de l'ancien hôtel communal de Laeken	Ancien Hôtel communal	Brussel	1922-1924
EID4371	1.0	Le Soir	1922-11-16 00:00:00	"""""Les villes d'art de l'Europe centrale"", avec projections lumineuses"""	travel			Europa	Demoulin J.-B.	Le Réveil Intellectuel - Université populaire de Laeken	Hall de l'ancien Hôtel Communal de Laeken	Ancien Hôtel communal	Brussel	1922-1924
EID559	1.0	Le Peuple	1903-03-10 00:00:00	"""conférence avec projections lumineuses"" ""Sujet: Un demi-siècle de grande industrie en Belgique"""	maatschappelijk		België	Europa	WaxweilerÉmile Pierre Clement	Le Réveil Intellectuel - Université populaire de Laeken	Local	Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID566	1.0	Le Soir	1903-03-10 00:00:00	"""Un demi-siècle de grande industrie en Belgique"""	maatschappelijk		België	Europa	WaxweilerÉmile Pierre Clement	Le Réveil Intellectuel - Université populaire de Laeken		Le Réveil Intellectuel. - Université populaire de Laeken	Brussel	1902-1904
EID6173	1.0	Le Peuple	1923-12-05 00:00:00	Au pays de Mireille et des toréadors	travel		Spanje	Europa	SchepersIvan	Le Réveil Intellectuel - Université populaire de Laeken	le hall de l'ancien hôtel communal de Laeken	Ancien Hôtel communal	Brussel	1922-1924
EID7248	1.0	Le Peuple	1924-10-15 00:00:00	Une visite à l'Hospice du Grand-St-Bernard	travel	Great St Bernard Pass	Zwitserland	Europa	SchepersIvan	Le Réveil Intellectuel - Université populaire de Laeken	ancien hôtel communal	Ancien Hôtel communal	Brussel	1922-1924
EID7395	1.0	Le Peuple	1924-11-12 00:00:00	Une visite au musée de Dresde	kunst		Duitsland	Europa	Demoulin J.-B.	Le Réveil Intellectuel - Université populaire de Laeken	hall de l'ancien hôtel communal de Laeken	Ancien Hôtel communal	Brussel	1922-1924
EID7464	1.0	Le Peuple	1924-11-19 00:00:00	D'Anvers à Stanleyville	travel	Antwerpen, Stanleyville	België, Congo	Europa, Afrika	RodigasEdgar Joseph Eugène Alvarez Émile	Le Réveil Intellectuel - Université populaire de Laeken	hôtel communal, salle du conseil	Hôtel Communal	Brussel	1922-1924
EID148	1.0	Le Soir	1902-05-14 00:00:00	"""deux séances de projections lumineuses avec causerie explicative"" ""un voyage à travers la Belgique - Bruxelles, Laeken, Gand, Bruges, Anvers, Malines, Blankenberghe, Ostende, Waterloo, Villers-la-Ville, Spa, Coo, Namur etc- et un voyage à travers l'Europe - Angeleterre, Espagne, Italie, France"""	travel	Brussel, Laken, Gent, Brugge, Antwerpen, Mechelen, Blankenberghe, Oostende, Waterloo, Villers-la-Ville, Spa, Coo, Namen	Engeland, Spanje, Italië, Frankrijk, België	Europa		L'enseignement par l'image	Théâtre Communal	Théâtre Communal	Brussel	1902-1904
EID151	1.0	Le Soir	1902-05-14 00:00:00	"""deux séances de projections lumineuses avec causerie explicative"" ""trait à l'histoire de l'habitation à travers les siècles et à un voyage en Suisse"" "	geschiedenis		Zwitserland	Europa		L'enseignement par l'image	Théâtre Communal	Théâtre Communal	Brussel	1902-1904
EID6195	1.0	Le Peuple	1923-12-08 00:00:00	l'Andalousie	travel	Andalusië	Spanje	Europa	RijmersHenri	Les Amis des Ecoles du N-E	Ecole 9	Ecole °9	Brussel	1922-1924
EID1302	1.0	La Métropole 	1904-02-23 00:00:00	l'Egypte et la Palestine	travel		Egypte, Palestina	Afrika	Peers de NieuwburghAlbert Edouard Irenée Christien Ghislain	les Dames d'Anvers	Grand Hôtel Métropole	Hôtel Métropole	Antwerpen	1902-1904
EID529	2.0	Le Peuple	1903-03-05 00:00:00	"""Conférence par le citoyen A. Bogaerts sur la Commune de Paris, avec projections lumineuses"""	geschiedenis		Frankrijk	Europa	BogaertsA.	les Enfants du Peuple du Vooruit			Rest	1902-1904
